id,title,url,source_class,publisher,retrieved_at,scope,claim_supported,limitations
src.bootstrap.color-modes,Bootstrap 5.3 Color Modes,https://getbootstrap.com/docs/5.3/customize/color-modes/,official_project_docs,Bootstrap,2026-06-22,UI dark/light modes,data-bs-theme is official Bootstrap color mode mechanism,No custom design guarantee
src.bootstrap.collapse,Bootstrap 5.3 Collapse,https://getbootstrap.com/docs/5.3/components/collapse/,official_project_docs,Bootstrap,2026-06-22,Collapse/toggle UI,aria-expanded should reflect collapse state,Nested event sync implemented locally
src.github.drdebug-web,n-e-o-w-u-lf/dr.debug-web,https://github.com/n-e-o-w-u-l-f/dr.debug-web,source_repository,GitHub,2026-06-22,Current web repo structure,"Repo contains Jekyll folders including content/stammbaum, _data, assets, scripts",Read-only; no writes performed
src.github.drdebug-memory,n-e-o-w-u-lf/dr.debug-memory,https://github.com/n-e-o-w-u-l-f/dr.debug-memory,source_repository,GitHub,2026-06-22,Memory/Wissenstand source,README exposes Wissenstand and MEMORY scope for devices/software/error codes,Read-only; HTML view may omit some files
src.microsoft.win11.release-info,Windows 11 release information,https://learn.microsoft.com/en-us/windows/release-health/windows11-release-information,official_vendor_docs,Microsoft,2026-06-22,Windows version/build hierarchy,Windows 11 release cadence and version information,Current versions can change
src.microsoft.win10.release-info,Windows 10 release information,https://learn.microsoft.com/en-us/windows/release-health/release-information,official_vendor_docs,Microsoft,2026-06-22,Windows 10 version/build hierarchy,Windows 10 support/release information,ESU/LTSC exceptions must be scoped
src.microsoft.bugcheck,Bug Check Code Reference,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-code-reference2,official_vendor_docs,Microsoft,2026-06-22,Windows error-code hierarchy,Bug check codes and WinDbg !analyze context,Programmer-oriented reference
src.microsoft.windows-update-errors,Windows Update common errors and mitigation,https://learn.microsoft.com/en-us/troubleshoot/windows-client/installing-updates-features-roles/common-windows-update-errors,official_vendor_docs,Microsoft,2026-06-22,Windows Update error hierarchy,Common Windows Update errors and mitigations,Applies to supported Windows client versions
src.microsoft.msi-errors,Windows Installer Error Messages,https://learn.microsoft.com/en-us/windows/win32/msi/windows-installer-error-messages,official_vendor_docs,Microsoft,2026-06-22,Windows Installer error hierarchy,MSI error messages/codes,Developer-oriented
src.microsoft.win98me-eos,Windows 98/98SE/Me support lifecycle blog,https://www.microsoft.com/en-us/msrc/blog/2006/06/windows-98-98se-and-me-information-about-support-lifecycle-and-ms06-015,official_vendor_blog,Microsoft MSRC,2026-06-22,Legacy Windows lifecycle,"Support for Windows 98, 98SE, Me ended July 11 2006",Historical support note
src.google.android.versioning,Version your app,https://developer.android.com/studio/publish/versioning,official_vendor_docs,Google,2026-06-22,Android app versioning,versionCode/versionName model,Publishing-specific
src.google.android.anr,Diagnose and fix ANRs,https://developer.android.com/topic/performance/anrs/diagnose-and-fix-anrs,official_vendor_docs,Google,2026-06-22,Android app diagnostics,ANR diagnosis categories,OEM timeouts can vary
src.google.play.categories,Choose a category and tags for your app or game,https://support.google.com/googleplay/android-developer/answer/9859673,official_vendor_docs,Google,2026-06-22,Android app categories,Play Console categories/tags are discovery metadata,Exact category list changes
src.nintendo.switch.models,Nintendo Switch model numbers,https://www.nintendo.com/ph/support/switch/modal/outline.html,official_vendor_docs,Nintendo,2026-06-22,Nintendo Switch hardware hierarchy,HAC-001/HEG-001 model references,Regional support page
